tagcompany,tagname,tagdate,tagorg,tagrank,tagsuper,tagtel,tagloc,tagrot,tagwc,tagtask,taghead,tagceo
엔투비,구영모,모레,수질보전섹션,L2,팀장(기술위원),010-6723-1918,,C조,휴무,1후판 압연,해외사업관리실장,POSCO-Vietnam(베트남)법인장
메가에셋,구윤희,어제,자원재활용섹션,L3,팀장(마케팅위원),010-2345-6799,,D조,연차,1후판 압연 전기정비,신사업실장,POSCO-VST(베트남)법인장
포항에스알디씨,구자설,오늘,후판부,L4,팀장(연구위원),010-3457-2405,,A조,교육,1후판 압연기계정비,에너지조선마케팅실장,PT. POSCO-Indonesia Inti(인도네시아)대표법인장
피엠씨텍,구자혁,내일,3연주공장,L5,파트장,010-3578-4526,,B조,반차,1후판 압연파트/압연반,포항연구소장,VPS(베트남)법인장
PNR,구지영,모레,3제강공장,L6,파트장(통합),010-2222-1122,,C조,출장,1후판공장 설비점검반,포항제철소 선강담당 부소장,광동순덕포항강판유한공사(중국)법인장
포스코A&C,구진모,어제,연주기술개발섹션,감독,파트장급,010-1234-1122,,D조,파견,1후판공장 전단전기,광양제철소 압연담당 부소장,광동포항기차판유한공사(중국)법인장
포스코,구훈모,오늘,제강기술개발섹션,보세사,파트장대우,010-3321-1245,,A조,육아휴직,1후판공장/설비점검반,안전생산전략실장,장가항포항불수강유한공사(중국)법인장
포스코P&S,국병효,내일,조업개선섹션,부소장,홍보위원,010-1234-1245,,B조,예비군훈련,1후판기계정비,열연설비성능혁신PJT팀장,중경포항중강기차판유한공사(중국)법인장
포스코켐텍,국중욱,모레,후판공장,소장,회장보좌역,010-6271-4692,,C조,민방위,1후판압연 기계정비,광양제철소 설비담당 부소장,청도포항불수강유한공사(중국)법인장
포스코강판,권기진,어제,후판기술개발섹션,총괄감독,Chief PCP,010-333-1245,,D조,안식월,1후판압연 전기정비,PosMAZIC연구PJT팀장,미얀마법인장
포스코건설,권기호,오늘,후판정비섹션,ChiefPCP,IP PJT 리더,010-3245-6282,,A조,휴무,1후판압연파트/압연반,광양연구소장,터키법인장
포스코E&E,권동우,내일,EIC기술부,JuniorPCP,Junior PCP,010-2347-1245,,B조,연차,1후판정정물류관리,선재마케팅실장,재팬피씨법인장
포스코에너지,권문주,모레,계측시스템정비섹션,PCE,PCE,010-5672-1335,,C조,교육,1후판정정물류관리 및 냉간교정작업,광양제철소 SNG사업추진반장,SS VINA 법인장
포스코ESM,권미라,어제,계측제어기술섹션,SeniorPCE,PCP,010-2378-0998,,D조,반차,1후판제품 정정주임,원료0실장,타이녹스법인장
포스코인재창조원,권병국,오늘,압연계장정비섹션,공장장,Senior PCE,010-6723-1919,,A조,출장,1후판제품 정정파트/정정주임,원료1실장,베트남대표법인장
포스코휴먼스,권보용,내일,자동화설비섹션,국장,Senior PCP,010-2345-6800,,B조,파견,2 FINEX  유동 & HCI,재무실장,베트남부법인장
포스코ICT,권성재,모레,전기기술섹션,회장,공장장,010-3457-2406,,C조,육아휴직,2 FINEX HCI 기계정비,유럽사무소장,AAPC법인장
포스코엠텍,권세련,어제,프로세스컴퓨터제어섹션,리더대우,국장,010-3578-4527,,D조,예비군훈련,2 HCL,PosACT연구PJT팀장,남아공법인장
포스코플랜텍,권순영,오늘,CEM기술지원PJT팀,반장,그룹장,010-2222-1123,,A조,민방위,2 M/C 연속 주조작업,홍보위원,미국대표법인장
포스코미소금융재단,권순용,내일,FINEX기술개발PJT팀,법인장,대표법인장,010-1234-1123,,B조,안식월,2ACL,포항제철소 안전설비담당 부소장,홍콩법인장
포스웰,권순태,모레,FINEX설비강건화PJT팀,부공장장,대표이사 회장,010-3321-1246,,C조,휴무,2ACSS,엔지니어링솔루션실장,호주법인장
포스코교육재단,권순현,어제,기계정비섹션,부리더,반장,010-1234-1246,,D조,연차,2APL,기술투자본부 기술위원 고로개수PJT팀장,캐나다법인장
포스메이트,권영윤,오늘,설비기술섹션,부사장,법무위원,010-6271-4693,,A조,교육,2APL 기계정비,포항제철소 압연담당 부소장,중국대표법인장
포스파워,권영주,내일,엔지니어링섹션,부장,법인장,010-333-1246,,B조,반차,2APL 기계정비직(나의안전짝꿍:이완락 부총괄),철강사업전략실장,중국부법인장
철강융합신기술연구조합,권영철,모레,전기정비섹션,부장대우,본부장,010-3245-6283,,C조,출장,2APL 운전,HR경영실장,소주법인장
포스코경영연구원,권오명,어제,FINEX조업최적화PJT팀,사무소장,부공장장,010-2347-1246,,D조,파견,2APL 입측 종합운전,투자엔지니어링실장,슬로베니아법인장
포항공과대학교,권오숭,오늘,FINEX2공장,상무보,부리더,010-5672-1336,,A조,육아휴직,2CAL  입측운전,철강생산본부 기술위원,인도대표법인장
포스코청암재단,권완선,내일,FINEX3공장,센터장,부문장,010-2378-0999,,B조,예비군훈련,2CAL All Round Play.,GPS제강PJT팀장,이탈리아법인장
포스코기술투자,권용태,모레,FINEX성형탄공장,실장,부법인장,010-6723-1920,,C조,민방위,2CAL 검사판정,용강비정질PJT팀장,일본대표법인장
RIST,권우진,어제,해외POIST-PJT팀,연구원,부장,010-2345-6801,,D조,안식월,2CAL 입측,고Mn강특화솔루션PJT팀장,마하라수트라법인장
리스텍비즈,권우현,오늘,POIST실용화추진반,연구위원보,부장대우,010-3457-2407,,A조,휴무,2CAL 중앙,ER실장,말레이시아법인장
순천에코트랜스,권원기,내일,연구개발PJT팀,전문연구원,비상임고문,010-3578-4528,,B조,연차,2CAL운전,철강사업본부 연구위원,MESDC법인장
SNNC,권원준,모레,조업기술개발PJT팀,추진반장,사무소장,010-2222-1124,,C조,교육,2CGL 엔지니어 (기술/품질/수익성),GigaSteel상용화추진반장,멕시코법인장
포스코터미날,권이민,어제,POSTRIP기술개발추진반,팀장,사외이사,010-1234-1124,,D조,반차,2COKE전기정비,기술연구원장,쿠알라룸푸르법인장
포스코아이씨티,권일우,오늘,STS압연부,팀리더,상임이사,010-3321-1247,,A조,출장,2DNL,경영전략실장,MPPC법인장
부산E&E,권재상,내일,1냉연공장,사업부장,센터장,010-1234-1247,,B조,파견,2DNL 탈탄침질,홍보실장,PMPC법인장
포스코대우,권재현,모레,2냉연공장,영업,실장,010-6271-4694,,C조,육아휴직,2DNL주임,철강솔루션마케팅실장,PWPC법인장
엔투비,권재환,어제,STS압연정비섹션,조장,안전파트장,010-333-1247,,D조,예비군훈련,2DRL Main▶설비점검(170201),설비자재구매실장,러시아법인장
메가에셋,권정록,오늘,소둔산세공장,주재원,연구소장,010-3245-6284,,A조,민방위,2FINEX  2유동파트 유동2반 기계정비,국내사업관리실장,동남아시아대표법인장
포항에스알디씨,권준성,내일,압연기술개발섹션,지역총괄,연구원장,010-2347-1247,,B조,안식월,2FINEX HCI 공정내 함철부산물 재활용 기술개발 TFT,스테인리스마케팅실장,TCS법인장
피엠씨텍,권준열,모레,조업개선섹션,파트장,일반,010-5672-1337,,C조,휴무,2FINEX HCI 정비,노무외주실장,TNPC법인장
PNR,권중기,어제,티타늄기술개발섹션,SM,자문교수,010-2378-1000,,D조,연차,2FINEX 공정안전관리(PSM),기술경영실장,베트남법인장
포스코A&C,권중남,오늘,STS제강부,그룹원,자문역,010-6723-1921,,A조,교육,2FINEX 기계정비(성형탄 설비),법무실장,VST법인장
포스코,권진용,내일,2제강공장,PM,제철소부소장,010-2345-6802,,B조,반차,2FINEX 성형탄 Tower,원료0실장,인도네시아대표법인장
포스코P&S,권춘식,모레,3제강공장,주임직무대행,제철소장,010-3457-2408,,C조,출장,2FINEX 용융로 전기파트/전기정비 (안전짝꿍:이은철),원료3실장,VPS법인장
포스코켐텍,권태근,어제,4제강공장,PJT전문직,주임,010-3578-4529,,D조,파견,2FINEX 원료 기계정비,원료4실장,광동순덕법인장
포스코강판,권태길,오늘,STS제강정비섹션,상임감사,주임급,010-2222-1125,,A조,육아휴직,2FINEX조로파트/1반주임(주임커뮤니티사무국장),원료5실장,광동포항법인장
포스코건설,권태연,내일,제강기술개발섹션,실원,주임대우,010-1234-1125,,B조,예비군훈련,2HCL,원료6실장,장가항법인장
포스코E&E,권태형,모레,조업개선섹션,대표법인장,추진단장,010-3321-1248,,C조,민방위,2LF,원료7실장,중경법인장
포스코에너지,권택현,어제,기술혁신그룹,법무위원,추진반장,010-1234-1248,,D조,안식월,2M/C 3Strand,원료8실장,청도법인장
포스코ESM,권헌진,오늘,PJT지원섹션,부문장,추진반장(기술위원),010-6271-4695,,A조,휴무,2M/C 4Str&#39; 주조직,원료9실장,ASSAN법인장
포스코인재창조원,권혁범,내일,QSS섹션,부법인장,추진반장(연구위원),010-333-1248,,B조,연차,2MC 기계 Supervisor,원료10실장,일본코일센터통합법인장
포스코휴먼스,권혁선,모레,혁신허브섹션,상임이사,팀장,010-3245-6285,,C조,교육,2PCM Pickling Line 기계 (나의 안전 짝궁 : 노종근 선배님),원료11실장,SSVINA 법인장
포스코ICT,권혁원,어제,냉연부,안전파트장,팀장(기술위원),010-2347-1248,,D조,반차,2PCM 산세입측설비/나의 안전 짝궁: 전영춘부총괄님,원료12실장,Thainox법인장
포스코엠텍,권혁일,오늘,1냉연공장,연구소장,팀장(마케팅위원),010-5672-1338,,A조,출장,2PCM 압연기술개발,원료13실장,미주대표법인장
포스코플랜텍,권현지,내일,2냉연공장,연구원장,팀장(연구위원),010-2378-1001,,B조,파견,2PCM 전기정비/안전짝꿍 남기하 총괄,원료14실장,홍콩금융법인장
포스코미소금융재단,권호,모레,냉연기술개발섹션,제철소부소장,파트장,010-6723-1922,,C조,육아휴직,2RH,원료15실장,차이나대표법인장
포스웰,금진동,어제,냉연정비1섹션,제철소장,파트장(통합),010-2345-6803,,D조,예비군훈련,2RH & LF,원료16실장,차이나부법인장
포스코교육재단,길인환,오늘,냉연정비2섹션,주임급,파트장급,010-3457-2409,,A조,민방위,2RH&LF,원료17실장,CSPC법인장
포스메이트,김갑수,내일,도금공장,주임대우,파트장대우,010-3578-4530,,B조,안식월,2RH/노경협의회,원료18실장,슬로베니아물류법인장
포스파워,김건수,모레,도금기술개발섹션,추진단장,홍보위원,010-2222-1126,,C조,휴무,2cal,원료19실장,인도법인장
철강융합신기술연구조합,김건우,어제,조업개선섹션,파트장급,회장보좌역,010-1234-1126,,D조,연차,2고로 기술원,원료20실장,이태리법인장
포스코경영연구원,김경곤,오늘,노재그룹,파트장대우,Chief PCP,010-3321-1249,,A조,교육,2고로 노전파트 / 출선업무,원료21실장,포스코재팬법인장
포항공과대학교,김경남,내일,노재섹션,홍보위원,IP PJT 리더,010-1234-1249,,B조,반차,2고로 운전및 노황관리 (나의 안전짝궁은 강석진 대리님 입니다),인니법인장,Maharashtra법인장
포스코청암재단,김경로,모레,발전기술개발섹션,회장보좌역,Junior PCP,010-6271-4696,,C조,출장,2고로 전기파트장,철강사업본부장,말련법인장
포스코기술투자,김경록,어제,발전섹션,간호사,PCE,010-333-1249,,D조,파견,2고로 조로반 pci 설비관리,회장,멕시코물류법인장
RIST,김경문,오늘,발전정비섹션,리더직무대행,PCP,010-3245-6286,,A조,육아휴직,2고로 조업관리,광양선강부소장,포스코멕시코법인장
리스텍비즈,김경민,내일,발전효율향상PJT팀,마스터,Senior PCE,010-2347-1249,,B조,예비군훈련,2고로 조업관리 업무,포항행정부소장,쿠알라룸프법인장
순천에코트랜스,김경진,모레,생산기술부,본부장대행,Senior PCP,010-5672-1339,,C조,민방위,2고로기계파트장(안전짝꿍 이형구 님),자동차마케팅실장,멕시코가공센터법인장
SNNC,김경한,어제,구내운송섹션,전문임원,공장장,010-2378-1002,,D조,안식월,2공장 FINEX직,인사실장,마닐라법인장
포스코터미날,김경호,오늘,생산관제섹션,그룹장대우,국장,010-6723-1923,,A조,휴무,2공장 원료 설비 점검,법무실상무,폴란드법인장
포스코아이씨티,김경희,내일,생산기술섹션,비상근이사,그룹장,010-2345-6804,,B조,연차,2공정 선탄반,STS부소장,동남아대표법인장
부산E&E,김계홍,모레,생산프로세스개선섹션,사무직사원,대표법인장,010-3457-2410,,C조,교육,2공정 선탄파트/선탄반,광양행정부소장,태국가공센터법인장
포스코대우,김광석,어제,제품출하섹션,월촉탁,대표이사 회장,010-3578-4531,,D조,반차,2공정 선탄파트/야드반/Reclaimer운전,인니생산본부장,터키가공센터법인장
엔투비,김광영,오늘,선강설비그룹,총괄파트장,반장,010-2222-1127,,A조,출장,2공정 통합관리,가정간판마케팅실장,포스코베트남법인장
메가에셋,김광운,내일,PosMC설비품질향상PJT팀,전문과장,법무위원,010-1234-1127,,B조,파견,2기 OVEN Part,해외사업실장,인니대표법인장
포항에스알디씨,김교철,모레,에너지발전섹션,전문차장,법인장,010-3321-1250,,C조,육아휴직,2기오븐 이동기기 관리,포항선강부소장,아싼법인장
피엠씨텍,김구,어제,연주기수리섹션,직책과장,본부장,010-1234-1250,,D조,예비군훈련,2냉연 #2EGL 제품출하업무,광양선강부소장,미주법인장
PNR,김귀영,오늘,제강연주섹션,기술연구소장,부공장장,010-6271-4697,,A조,민방위,2냉연 #2PCM 전기정비,Smart Factory추진팀장,이태리가공센터법인장
포스코A&C,김근태,내일,제선FINEX섹션,센터원,부리더,010-333-1250,,B조,안식월,2냉연 2PCM PL CENTER,광양설비부소장,쿠알라룸프가공센터법인장
포스코,김금주,모레,크레인정비섹션,경영지원실장,부문장,010-3245-6287,,C조,휴무,2냉연 3CAL,홍보상무,마닐라가공센터법인장
포스코P&S,김기순,어제,투자관리화성섹션,스틸앤건축사업실장,부법인장,010-2347-1250,,D조,연차,2냉연 3CAL 기계정비 파트장(2냉연 S/C 2층),포항안전설비부소장,폴란드가공센터법인장
포스코켐텍,김기열,오늘,선재부,담당임원,부장,010-5672-1340,,A조,교육,2냉연 3CAL 입측 기계정비 / 안전짝꿍♡정인균 선배님,비서실장,SouthAsia법인장
포스코강판,김기욱,내일,1선재공장,대표이사사장,부장대우,010-2378-1003,,B조,반차,2냉연 3CAL 전기 정비 파트,PR실장,TST법인장
포스코건설,김기원,모레,2선재공장,감사,비상임고문,010-6723-1924,,C조,출장,2냉연 AHSS 조업기술 완성,솔루션마케팅실장,ITPC법인장
포스코E&E,김기윤,어제,3선재공장,주임직무대리,사무소장,010-2345-6805,,D조,파견,2냉연 CAL,자재구매실장,쿠알라룸푸르가공센터법인장
포스코에너지,김기주,오늘,4선재공장,촉탁직원,사외이사,010-3457-2411,,A조,육아휴직,2냉연 CAL 및 CR제품 (냉연부 S/C 2층),국내사업실장,MYANMAR-POSCO(미얀마)법인장
포스코ESM,김기진,내일,기술개발섹션,파트장직무대리,상임이사,010-3578-4532,,B조,예비군훈련,2냉연 PCM 기계정비/안전짝궁 강덕운,노무실장,POSCO ASSAN TST(터키)법인장
포스코인재창조원,김기태,모레,선재정비섹션,PL,센터장,010-2222-1128,,C조,민방위,2냉연 설비기동 점검,법무상무,POSCO Japan PC(일본)법인장
포스코휴먼스,김기하,어제,조업개선섹션,SL,실장,010-1234-1128,,D조,안식월,2냉연 압연,스텐레스부소장,POSCO SS VINA(베트남)법인장
포스코ICT,김기한,오늘,설비기술부,리더직무대리,안전파트장,010-3321-1251,,A조,휴무,2냉연 전기정비직/나의 안전 짝꿍(김태규),포항안전부소장,POSCO Thainox(태국)법인장
포스코엠텍,김기현,내일,BS관리섹션,법인장직무대리,연구소장,010-1234-1251,,B조,연차,2냉연 출하담당,외주실장,POSCO Vietnam Holdings(베트남)대표법인장
포스코플랜텍,김기홍,모레,공사섹션,관리장,연구원장,010-6271-4698,,C조,교육,2냉연3CAL전기정비파트,스테인리스부소장,POSCO Vietnam Holdings(베트남)부법인장
포스코미소금융재단,김기환,어제,기계기술섹션,관장,일반,010-333-1251,,D조,반차,2냉연3CAL전기정비파트/2냉연3CAL전기정비파트장,포항부소장,POSCO-AAPC(알라바마)법인장
포스웰,김길성,오늘,보안관리섹션,데미쉐프,자문교수,010-3245-6288,,A조,출장,2냉연3CAL전기정비파트/CSL담당,포항제철소장,POSCO-Africa(남아공)법인장
포스코교육재단,김길형,내일,설비IMC섹션,부이사장,자문역,010-2347-1251,,B조,파견,2냉연PCM전기-TCM/나의안전 짝궁 김헌제 주무,PT.KRAKATAU POSCO 법인장,POSCO-America(미국)대표법인장
포스메이트,김나형,모레,설비기획섹션,부지배인,제철소부소장,010-5672-1341,,C조,육아휴직,2냉연공장 품질관리,인니법인장,POSCO-Asia(홍콩)법인장
포스파워,김낙균,어제,설비솔루션기술지원섹션,쉐프,제철소장,010-2378-1004,,D조,예비군훈련,2냉연물류진행업무(안전짝꿍:유종호),광양제철소장,POSCO-Australia(호주)법인장
철강융합신기술연구조합,김남건,오늘,중앙수리섹션,영양사,주임,010-6723-1925,,A조,민방위,2냉연압연전기파트장,경영지원본부장,POSCO-Canada(캐나다)법인장
포스코경영연구원,김남우,내일,토건설비섹션,임원,주임급,010-2345-6806,,B조,안식월,2도금 도금2반 파트장 조업관리 총괄,기술투자본부장,POSCO-China(중국)대표법인장
포항공과대학교,김다영,모레,안전방재부,점장,주임대우,010-3457-2412,,C조,휴무,2도금 산세도금반  파트장 (라인 총괄업무),철강생산본부장,POSCO-China(중국)부법인장
포스코청암재단,김다희,어제,건강증진섹션,조리반장직무대행,추진단장,010-3578-4533,,D조,연차,2도금 파트[안전],철강부문장,POSCO-CSPC(소주)법인장
포스코기술투자,김대근,오늘,방재섹션,조리사,추진반장,010-2222-1129,,A조,교육,2도금 환경.에너지 외주.EAM,철강사업본부장,POSCO-ESDC(슬로베니아)법인장
RIST,김대봉,내일,안전방재기술섹션,조리실장,추진반장(기술위원),010-1234-1129,,B조,반차,2도금공장 검사반 업무총괄,가치경영센터장,POSCO-India(인도)대표법인장
리스텍비즈,김대열,모레,안전섹션,지배인,추진반장(연구위원),010-3321-1252,,C조,출장,2도금공장(3CGL B조 주임),CEO,POSCO-ITPC(이탈리아)법인장
순천에코트랜스,김대영,어제,안전시설개선섹션,캡틴,팀장,010-1234-1252,,D조,파견,2반,선강담당 부소장,POSCO-Japan(일본)대표법인장
SNNC,김대용,오늘,압연설비그룹,그룹리더,팀장(기술위원),010-6271-4699,,A조,육아휴직,2반파트 출선업무,선재제어냉각PJT팀장,POSCO-Maharashtra(인도)법인장
포스코터미날,김대우,내일,STS압연섹션,코치,팀장(마케팅위원),010-333-1252,,B조,예비군훈련,2선재 공장 기술원,CSP 조업담당 임원,POSCO-Malaysia(말레이시아)법인장
포스코아이씨티,김대웅,모레,냉연전기강판섹션,행정실장,팀장(연구위원),010-3245-6289,,C조,민방위,2선재 압연,행정담당 부소장,POSCO-MESDC(멕시코)법인장
부산E&E,김대원,어제,열연섹션,비상임자문위원,파트장,010-2347-1252,,D조,안식월,2소결 담당,POIST실용화추진반장,POSCO-Mexico(멕시코)법인장
포스코대우,김대진,오늘,후판선재섹션,연구위원,파트장(통합),010-5672-1342,,A조,휴무,2소둔,주문외제품ValueUp-PJT팀장,POSCO-MKPC(쿠알라룸푸르)법인장
엔투비,김대환,내일,에너지부,초빙연구원,파트장급,010-2378-1005,,B조,연차,2소둔 주임,자동차소재마케팅실장,POSCO-MPPC(멕시코)법인장
메가에셋,김도성,모레,동력섹션,관제사,파트장대우,010-6723-1926,,C조,교육,2소둔 파트 업무 총괄,HR혁신실장,POSCO-PMPC(마닐라)법인장
포항에스알디씨,김도수,어제,산소공장,관제팀장,홍보위원,010-2345-6807,,D조,반차,2연속소둔파트/2APL 입측운전(나의안전짝꿍은 김종연사원),정도경영실장,POSCO-PWPC(폴란드)법인장
피엠씨텍,김도현,오늘,에너지기술섹션,궤도팀장,회장보좌역,010-3457-2413,,A조,출장,2연속소둔파트/연속소둔2반(나의 안전짝꿍: 박재호과장),법무실 법무위원,POSCO-RU(러시아)법인장
PNR,김도형,내일,에너지정비섹션,기술부장,Chief PCP,010-3578-4534,,B조,파견,2연속소둔파트/연속소둔2반(나의안전짝궁: 장옥철 대리),STS담당 부소장,POSCO-SouthAsia(태국)대표법인장
포스코A&C,김도화,모레,에너지효율개선섹션,기술팀장,IP PJT 리더,010-2222-1130,,C조,육아휴직,2연속소둔파트/연속소둔2반] 중앙운전 (나의안전짝꿍: 이종기과장,광양제철소 행정담당 부소장,POSCO-TCS(태국)법인장
포스코,김동균,어제,전력계통섹션,산업안전관리자,Junior PCP,010-1234-1130,,D조,예비군훈련,2연속소둔파트/연속소둔2반] 출측운전 (나의안전짝꿍 윤민호),HiFAME연구PJT팀장,POSCO-TNPC(터키)법인장
포스코P&S,김동석,오늘,열연부,운영팀장,PCE,010-3321-1253,,A조,민방위,2연속소둔파트/연속소둔2반] 프로세스운전 (나의안전짝꿍: 권영관과장님,정보기획실장,POSCO-Vietnam(베트남)법인장
포스코켐텍,김동수,내일,1열연공장,차량팀장,PCP,010-1234-1253,,B조,안식월,2연주  2MC 기계정비,PT.KRAKATAU POSCO 생산본부장,POSCO-VST(베트남)법인장
포스코강판,김동언,모레,2열연공장,그룹장,Senior PCE,010-6271-4700,,C조,휴무,2연주 1M/C 기계정비,글로벌마케팅조정실장,PT. POSCO-Indonesia Inti(인도네시아)대표법인장
포스코건설,김동영,어제,기술개발섹션,관리자,Senior PCP,010-333-1253,,D조,연차,2연주 1M/C 전기,전기전자마케팅실장,VPS(베트남)법인장
포스코E&E,김동완,오늘,열연공정제어모델섹션,경영지원팀장,공장장,010-3245-6290,,A조,교육,2연주 1MC 수처리 설비 Main,해외사업관리실장,광동순덕포항강판유한공사(중국)법인장
포스코에너지,김동우,내일,열연정비섹션,고문,국장,010-2347-1253,,B조,반차,2연주 2M/C기계 파트장,신사업실장,광동포항기차판유한공사(중국)법인장
포스코ESM,김동윤,모레,조업개선섹션,과장,그룹장,010-5672-1343,,C조,출장,2연주 2MC 주상 설비,에너지조선마케팅실장,장가항포항불수강유한공사(중국)법인장
포스코인재창조원,김동은,어제,예비군연대,기사,대표법인장,010-2378-1006,,D조,파견,2연주 전기정비,포항연구소장,중경포항중강기차판유한공사(중국)법인장
포스코휴먼스,김동일,오늘,인사노무그룹,기술이사,대표이사 회장,010-6723-1927,,A조,육아휴직,2연주 크레인 기계정비,포항제철소 선강담당 부소장,청도포항불수강유한공사(중국)법인장
포스코ICT,김동주,내일,노무섹션,대리,반장,010-2345-6808,,B조,예비군훈련,2연주1MC전기정비,광양제철소 압연담당 부소장,미얀마법인장
포스코엠텍,김동준,모레,외주섹션,발전운영팀장,법무위원,010-3457-2414,,C조,민방위,2연주공장 기술원,안전생산전략실장,터키법인장
포스코플랜텍,김동한,어제,인사섹션,설비기술팀장,법인장,010-3578-4535,,D조,안식월,2연주공장 안전 방재,열연설비성능혁신PJT팀장,재팬피씨법인장
포스코미소금융재단,김동현,오늘,전기강판부,안전보건혁신팀장,본부장,010-2222-1131,,A조,휴무,2연주공장 원가절감 활동 ('17.3.8~6.9),광양제철소 설비담당 부소장,SS VINA 법인장
포스웰,김동호,내일,1전기강판공장,연료화운영팀장,부공장장,010-1234-1131,,B조,연차,2열연 Conveyor 담당,PosMAZIC연구PJT팀장,타이녹스법인장
포스코교육재단,김둘이,모레,2전기강판공장,주무,부리더,010-3321-1254,,C조,교육,2열연 Smart Factory 기획/ 데이터분석,광양연구소장,베트남대표법인장
포스메이트,김래경,어제,3전기강판공장,Director,부문장,010-1234-1254,,D조,반차,2열연 가열 및 U.T업무 총괄 및 S/Y Tong.s/재열재 Tong 담당. 압연2반 자재담당,선재마케팅실장,베트남부법인장
포스파워,김명삼,오늘,기술개발섹션,Staff,부법인장,010-6271-4701,,A조,출장,2열연 권취기 정정 기계정비 파트장,광양제철소 SNG사업추진반장,AAPC법인장
철강융합신기술연구조합,김명수,내일,전기강판정비섹션,Driver,부장,010-333-1254,,B조,파견,2열연 연연속및FM기계정비,원료2실장,남아공법인장
포스코경영연구원,김명찬,모레,조업개선섹션,E2,부장대우,010-3245-6291,,C조,육아휴직,2열연 전기감시실,원료3실장,미국대표법인장
포항공과대학교,김명희,어제,제강부,주임,비상임고문,010-2347-1254,,D조,예비군훈련,2열연 전기정비 (조압연),재무실장,홍콩법인장
포스코청암재단,김문선,오늘,1제강공장,E3,사무소장,010-5672-1344,,A조,민방위,2열연 플랫폼 구축,유럽사무소장,호주법인장
포스코기술투자,김문정,내일,2연주공장,E4,사외이사,010-2378-1007,,B조,안식월,2원료 2불출/나의안전짝궁배유호과장님,PosACT연구PJT팀장,캐나다법인장
RIST,김문혁,모레,2제강공장,과장대우,상임이사,010-6723-1928,,C조,휴무,2원료 3불출설비 관리 및 운영-안전짝꿍(이상호),홍보위원,중국대표법인장
리스텍비즈,김미영,어제,3연주공장,E5,센터장,010-2345-6809,,D조,연차,2원료 불출/나의 안전짝궁 강신율님,포항제철소 안전설비담당 부소장,중국부법인장
순천에코트랜스,김미진,오늘,3제강공장,E6,실장,010-3457-2415,,A조,교육,2원료 불출1 담당/나의 짝궁 남상승 주임 안전관련공유,엔지니어링솔루션실장,소주법인장
SNNC,김미희,내일,4연주공장,차장,안전파트장,010-3578-4536,,B조,반차,2원료 불출설비/ 안전 짝꿍남상승,기술투자본부 기술위원 고로개수PJT팀장,슬로베니아법인장
포스코터미날,김민석,모레,연주기술개발섹션,G10,연구소장,010-2222-1132,,C조,출장,2원료 불출설비/나의 안전짝꿍 (김태우),포항제철소 압연담당 부소장,인도대표법인장
포스코아이씨티,김민선,어제,연주정비섹션,Manager,연구원장,010-1234-1132,,D조,파견,2원료 전기정비 "나의 안전짝꿍은 황영택님 입니다",철강사업전략실장,이탈리아법인장
부산E&E,김민성,오늘,제강기술개발섹션,G10A,일반,010-3321-1255,,A조,육아휴직,2원료 파트 원료2반/나의 안전짝꿍 김재봉 선배님,HR경영실장,일본대표법인장
포스코대우,김민수,내일,제강정비섹션,G10B,자문교수,010-1234-1255,,B조,예비군훈련,2원료전기정비/나의 안전짝궁은 최보현님 입니다^^,투자엔지니어링실장,마하라수트라법인장
엔투비,김민식,모레,조업개선섹션,G11,자문역,010-6271-4702,,C조,민방위,2원료전기정비/나의 안전짝꿍은 김영기 님입니다.,철강생산본부 기술위원,말레이시아법인장
메가에셋,김민오,어제,제선부,G12,제철소부소장,010-333-1255,,D조,안식월,2원료파트 /원료2반  / 1불출,GPS제강PJT팀장,MESDC법인장
포항에스알디씨,김민재,오늘,1제선공장,G13,제철소장,010-3245-6292,,A조,휴무,2전강 ACL 기계(2ACL),용강비정질PJT팀장,멕시코법인장
피엠씨텍,김민정,내일,2제선공장,G7,주임,010-2347-1255,,B조,연차,2전강 ACL기계(2ACL F'ce),고Mn강특화솔루션PJT팀장,쿠알라룸푸르법인장
PNR,김박훈,모레,3고로개수품질향상PJT팀,P1,주임급,010-5672-1345,,C조,교육,2전강 ACL전기 (3ACL),ER실장,MPPC법인장
포스코A&C,김방현,어제,고로정비섹션,P10,주임대우,010-2378-1008,,D조,반차,2전강 압연기계파트,철강사업본부 연구위원,PMPC법인장
포스코,김범석,오늘,기술개발섹션,P2,추진단장,010-6723-1929,,A조,출장,2전강소둔코팅1반 (2ACL)주임,GigaSteel상용화추진반장,PWPC법인장
포스코P&S,김범진,내일,소결공장,P3,추진반장,010-2345-6810,,B조,파견,2전강압연기계(2APL),기술연구원장,러시아법인장
포스코켐텍,김병구,모레,원료공장,P5,추진반장(기술위원),010-3457-2416,,C조,육아휴직,2전기강판공장 안전기획 및 진단,경영전략실장,동남아시아대표법인장
포스코강판,김병수,어제,원료소결정비섹션,P6,추진반장(연구위원),010-3578-4537,,D조,예비군훈련,2정정 4면 Scarfer,홍보실장,TCS법인장
포스코건설,김병윤,오늘,조업개선섹션,P7,팀장,010-2222-1133,,A조,민방위,2정정 4면 Scarfer 업무,철강솔루션마케팅실장,TNPC법인장
포스코E&E,김병주,내일,품질기술부,P8,팀장(기술위원),010-1234-1133,,B조,안식월,2정정 SY관제실,설비자재구매실장,베트남법인장
